,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
6394,0,0,3,3,3,0,0,0,0,0,1,0,1,1,0,11.93,26.92,-0.53,2.81,7.37,0,6.63
5761,0,1,5,4,3,1,0,0,1,0,1,1,0,1,1,12.22,28.23,4.19,1.84,7.32,0.56,5.22
2343,0,1,5,2,2,0,0,0,0,0,1,0,0,1,0,11.93,23.48,0.98,1.34,7.78,0.63,5.57
18039,1,1,4,4,4,1,0,0,1,1,0,0,1,1,0,12.39,22.72,-2.19,3.46,7.72,0.43,6.15
4624,0,0,3,2,4,0,1,0,0,1,1,0,0,0,0,11.99,29.4,2.16,7.38,7.39,-1.83,5.57
17191,1,1,1,4,5,1,0,1,1,1,1,1,0,0,1,11.89,27.45,1.42,-0.7,7.57,2.13,6.93
9602,0,1,3,1,2,1,1,0,1,0,0,1,0,0,1,12.33,29.15,1.26,1.61,7.67,-0.3,6.27
19070,1,1,1,3,4,0,1,0,0,1,1,1,1,1,0,11.99,27.67,2.09,4.41,7.77,0.7,6.69
3671,0,1,4,5,5,1,1,0,0,0,1,1,1,1,1,12.03,31.28,0.77,1.68,7.25,5.73,4.5
16350,1,1,4,1,2,1,1,1,1,1,1,0,0,0,1,11.8,29.92,3.41,0.95,7.56,1.42,4.85
17794,1,1,3,2,2,0,1,1,0,1,1,1,1,0,0,11.88,25.56,1.4,-1.68,7.79,1.51,6.97
7998,0,1,4,4,4,0,1,1,1,0,1,0,1,1,0,11.9,29.71,2.25,-2.04,7.37,1.77,6.06
18599,1,0,2,2,5,0,1,0,1,0,1,1,1,0,1,12.14,33.01,3.85,-7.25,7.29,3,4.54
19170,1,1,3,3,1,0,1,1,1,0,1,1,0,0,0,12.06,24.94,-0.92,3.56,7.63,-0.66,5.85
12670,0,1,3,2,4,0,1,1,1,0,0,1,1,1,1,12.2,27.86,1.8,7.93,7.56,-0.69,6.35
7999,0,0,4,3,5,0,1,0,1,1,0,1,0,0,0,11.97,26.88,-0.1,-6.19,7.63,-0.99,5.27
8548,0,1,5,5,3,1,0,1,0,1,1,1,1,0,0,12.12,26.49,2.59,4.02,7.62,0.84,6.27
11687,0,0,4,4,2,0,0,0,1,0,0,1,0,0,1,11.89,28.67,0.27,-2.37,7.49,-3.02,4.75
19258,1,0,1,2,4,1,0,1,0,1,0,0,1,0,1,12.03,30.56,1.76,2.64,7.39,3.02,4.98
865,0,1,1,5,3,1,1,1,0,1,0,1,1,1,0,11.89,28.93,1.39,-4.23,8,0.87,5.44
9163,0,1,2,3,1,0,1,1,1,0,0,1,0,1,0,11.77,27.44,3.68,1.15,7.84,2.71,5.37
14990,0,0,1,5,4,1,1,1,0,1,1,1,1,1,0,12.2,27.58,2.97,3.54,7.86,0.32,6.78
16102,1,1,3,2,5,1,1,1,1,0,0,0,0,0,1,11.91,28.89,1.87,0.74,7.55,-1.89,4.97
9834,0,1,5,4,2,1,1,1,0,1,1,0,1,1,0,12.2,27.47,0.55,-0.01,7.33,3.04,6.25
1472,0,1,3,3,5,1,1,1,1,0,1,0,0,1,0,12.2,26.43,-0.17,6.87,7.51,-0.22,3.92
19639,1,0,4,1,1,1,0,1,0,0,1,0,0,0,0,12.01,26.08,1.41,1.36,7.59,2.07,4.29
7793,0,1,5,5,3,1,0,0,0,1,1,1,0,0,0,11.98,28.87,3.93,-4.69,7.25,2.74,6.46
13085,0,1,2,1,3,1,1,0,1,1,1,1,0,0,1,12.01,26.59,1.44,8.79,7.52,1.34,6.25
15881,1,1,1,4,3,1,1,0,0,1,0,1,0,0,1,11.93,29.26,2.48,2.38,7.54,3.92,6.23
19484,1,1,1,5,3,0,1,0,0,1,1,0,0,1,0,12.11,29.55,2.48,-2.36,7.66,0.21,5.99
15588,1,0,4,1,5,1,1,1,0,1,1,0,0,1,0,11.61,27.89,1.16,-0.71,7.17,1.89,4.17
351,0,1,2,4,4,1,1,0,0,1,0,1,0,0,1,12.24,28.03,0.51,-1.89,7.57,2.03,6.2
16746,1,1,1,2,2,0,0,1,0,1,1,1,1,0,0,12.28,24.93,1.73,-1.38,7.59,2.22,6.6
