,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
9822,0,5,4,5,0,1,1,0,1,1,1,0,0,0,12.07,27.7,-0.6,-0.8,7.5,-0.27,6.16
14362,1,3,1,4,1,0,0,0,0,0,1,1,1,1,12.06,28.87,-0.94,-7.71,7.43,0.98,6.63
16368,0,3,4,2,1,0,1,0,1,0,0,1,1,1,12.1,26.93,0.64,-4.73,7.61,-1.51,6.62
9409,1,3,2,3,0,0,1,0,1,1,0,1,0,0,11.78,30.06,1.93,-3.48,7.89,-1.02,6.43
2099,1,2,4,1,0,0,0,1,1,1,0,1,0,1,11.74,28.93,1.51,6.03,7.55,1.72,4.12
19687,1,3,3,1,1,0,1,0,1,1,0,1,0,0,11.78,26.9,-1.21,-3.29,7.34,2.31,5.97
16533,1,3,2,4,0,1,1,0,1,1,0,0,1,1,12.05,28.39,2.33,-1.05,7.62,2.14,5.75
4291,1,2,4,5,0,0,1,0,1,0,1,1,1,1,11.72,31.57,-0.78,-4.02,7.58,3.35,4.45
1287,1,2,5,4,1,0,1,0,1,1,1,0,1,1,12.02,26.73,1.11,2.97,6.7,-0.7,5.25
4500,1,1,3,5,1,1,1,1,1,0,0,1,1,0,11.8,30.76,1.13,5.29,7.54,-1.36,4.57
18360,1,3,3,1,0,0,0,0,0,1,1,1,1,0,12.24,26.77,-0.38,-0.14,7.93,0.04,4.36
8792,0,2,5,3,0,0,1,1,0,1,0,1,1,0,11.97,28.36,2.46,1.43,7.44,1.63,5.13
6393,1,1,2,4,1,0,0,0,0,0,0,0,0,1,11.88,27.07,4.35,2.46,7.58,-1.44,4.73
3304,1,2,4,1,1,1,1,1,1,0,1,1,1,1,12.12,28.63,4.23,-1.84,7.19,0.75,8.46
15798,0,4,1,4,1,0,0,0,1,0,0,1,0,1,12.32,25.38,0.11,-2.22,7.68,-2.62,7
4943,1,5,2,5,1,1,0,1,1,1,0,0,0,0,11.93,30.21,1.63,-0.57,7.44,-0.02,5.73
18218,1,5,1,1,0,0,0,0,0,1,1,1,1,1,11.8,32.69,2.12,3.27,7.47,1.96,6.49
19472,1,5,2,4,0,1,1,0,0,0,1,1,1,1,12.21,28.97,1.33,0.66,8.02,2.17,6.24
10392,1,1,2,3,0,0,0,1,0,0,1,0,1,1,12.29,25.52,0.52,-0.82,7.36,-0.5,5.26
101,0,4,4,5,0,1,0,1,1,1,1,0,1,1,12.05,26.73,-1.08,4.75,7.17,1.64,6.43
18760,1,5,4,3,0,0,1,0,0,1,0,0,1,1,11.86,26.09,2.96,-0.34,7.75,-1.45,4.17
10900,1,2,2,4,1,1,1,1,1,0,1,1,0,0,12.12,28.31,5.58,5.01,7.29,-2.19,5.22
